"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Admin API","Wallets Query","","0","1","33","0","0"
"Admin API","Cancel Subscription","","0","0","10","0","0"
"Admin API","Transactions Export","","0","0","48","0","0"
"Admin API","Transactions Query","","0","0","51","0","0"
"Admin API","Toggle Plan Status","","0","0","5","0","0"
"Admin API","Payment Issues Query","","0","0","37","0","0"
"Admin API","Subscriptions Query","","0","0","37","0","0"
"Admin API","Transactions Summary","","0","0","43","0","0"
"Admin API","Create Plan Feature","","0","0","6","0","0"
"Admin API","Payment Issues Summary","","1","0","33","0","0"
"Admin API","Refunds Summary","","0","0","54","0","0"
"Admin API","Show Refund By ID","","0","0","33","0","0"
"Admin API","Adjust Wallet Balance","","0","0","11","3","0"
"Admin API","Refunds Query","","0","0","35","0","0"
"Admin API","Show Wallet By ID","","0","0","34","0","0"
"Admin API","Subscriptions Count","","0","0","18","0","0"
"Admin API","Preview Plan Change","","0","0","14","0","0"
"Admin API","Reorder Plans","","0","0","1","0","0"
"Admin API","Subscriptions Export CSV","","0","0","25","0","0"
"Admin API","Plans Query","","0","0","23","0","0"
"Admin API","Payment Issues Export","","0","0","31","0","0"
"Admin API","Show Transaction By ID","","0","0","27","0","0"
"Admin API","Wallets Summary","","0","0","23","0","0"
"Admin API","Update Plan Feature","","0","0","6","0","0"
"Admin API","Delete Plan Feature","","0","0","8","1","0"
"Admin API","Show Subscription By ID","","0","0","13","0","0"
"Admin API","Apply Plan Change","","0","0","10","0","0"
"Admin API","Delete Transaction","","0","0","17","0","0"
"Admin API","Transaction Statistics","","0","0","15","0","0"
"Admin API","Transactions","","0","0","17","0","0"
"Admin API","Update Plan","","0","0","6","0","0"
"Admin API","Plan Features Query","","0","0","14","0","0"
"Admin API","Subscription Invoices","","0","0","14","0","0"
"Admin API","Show Plan Feature By ID","","0","0","9","0","0"
