"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 00:16:27 EEST 2026","Sun May 24 00:16:27 EEST 2026","338","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","security_noToken_returns401","security_noToken_returns401","Unauthenticated request to filtered list returns 401"
"passed","Sun May 24 00:11:05 EEST 2026","Sun May 24 00:11:07 EEST 2026","1170","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminCancelSubscriptionApiTest","com.apiautomation.tests.admin.subscriptions.AdminCancelSubscriptionApiTest","cancelSubscription_activeDetail_showsImpactSummaryBeforeConfirm","cancelSubscription_activeDetail_showsImpactSummaryBeforeConfirm","Before cancel confirm: GET detail exposes cancellation_impact and can_cancel for active subscription"
"passed","Sun May 24 00:13:40 EEST 2026","Sun May 24 00:13:41 EEST 2026","331","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsExportApiTest","security_noToken","security_noToken","No token returns 401"
"passed","Sun May 24 00:16:24 EEST 2026","Sun May 24 00:16:25 EEST 2026","511","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","search_specialCharacters_doesNotCauseServerError","search_specialCharacters_doesNotCauseServerError","Search with special characters does not cause 500"
"passed","Sun May 24 00:13:49 EEST 2026","Sun May 24 00:13:49 EEST 2026","468","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsQueryApiTest","sorting_validFields_returnSortedData","sorting_validFields_returnSortedData","Each supported sort field works in ASC and DESC"
"passed","Sun May 24 00:09:38 EEST 2026","Sun May 24 00:09:38 EEST 2026","674","Plans Module","Plans Tests","com.apiautomation.tests.admin.plans.AdminPlanToggleStatusApiTest","com.apiautomation.tests.admin.plans.AdminPlanToggleStatusApiTest","toggleStatus_emptyBody_returns422","toggleStatus_emptyBody_returns422","Empty body returns 422"
"passed","Sun May 24 00:16:18 EEST 2026","Sun May 24 00:16:18 EEST 2026","447","Wallets Module","Wallets Tests","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","com.apiautomation.tests.admin.wallets.AdminWalletsQueryApiTest","sorting_sqlInjection_doesNotCauseServerError","sorting_sqlInjection_doesNotCauseServerError","SQL injection in sort parameter must not cause 500"
"passed","Sun May 24 00:17:04 EEST 2026","Sun May 24 00:17:05 EEST 2026","430","Payment Issues Module","Payment Issues Tests","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesQueryApiTest","com.apiautomation.tests.admin.paymentissues.AdminPaymentIssuesQueryApiTest","pagination_invalidPerPage_handledGracefully","pagination_invalidPerPage_handledGracefully","Invalid perPage values return 200 with fallback or 400/422"
"passed","Sun May 24 00:12:37 EEST 2026","Sun May 24 00:12:37 EEST 2026","507","Subscriptions Module","Subscriptions Tests","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsQueryApiTest","com.apiautomation.tests.admin.subscriptions.AdminSubscriptionsQueryApiTest","edge_perPageZero_handled","edge_perPageZero_handled","perPage=0 handled"
"passed","Sun May 24 00:14:15 EEST 2026","Sun May 24 00:14:15 EEST 2026","400","Transactions Module","Transactions Tests","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","com.apiautomation.tests.admin.transactions.AdminTransactionsSummaryApiTest","sorting_allFieldsAccepted","sorting_allFieldsAccepted","Each supported sort field is accepted on summary endpoint"
